9.76279, -7.51455, -0.224252, 1.78076, -6.0426, -3.70073, -2.85768, 2.5274, 5.19175, 9.5459, -1.82866, -9.57091, -4.45674, -7.20763, 6.59388, -0.657823, 7.07004, 2.69136, 8.1476, 6.6769, -9.38445, -1.12067, 9.78014, -1.5377, 9.40245, 0.999135, -8.14037, 6.76639, -2.71073, -8.92782, -6.75554, -6.6381, -7.48189, -0.434876, -1.73488, 6.68151, -9.33938, -2.29453, -1.12336, -1.92993, 1.49475, 5.32787, -2.02514, -7.11823, 3.16982, 9.6672, -1.28494, 1.63963, 0.598909, 3.25266, -8.63364, -0.0944207, 1.07992, -7.02164, 6.75268, 5.38182, 1.76169, 2.97085, 8.95411, -9.62512, 3.94235, -5.47594, 5.79493, 2.91474, 2.3609, 1.03317, 5.31539, -6.40788, 7.98114, -4.18875, -4.13653, -8.16457, -1.92375, -8.28124, 5.35045, -4.05495, -5.69448, 8.35586, -2.67007, -0.785461, -4.42499, -8.57621, 1.9111, -2.80503, -9.34404, -3.54339, 3.38448, -7.24768, 2.08102, 8.82576, 7.60298, -9.42283, -6.12174, -9.97631, -5.43625, -1.08978, 3.89622, -3.52086, 9.07561, -9.99089, 7.07226, -5.3709, -9.2214, 0.350686, 2.29544, -6.51385, -3.81598, 1.58795, -2.09044, 4.65827, -0.823896, -8.11653, 6.2323, -0.0919867, -9.05153, -0.875869, -1.04705, -7.55342, -3.76799, 9.55813, 2.32716, -8.15754, -3.21492, -1.53365, 4.7899, -8.2307, 3.13286, 8.68954, 4.05813, -2.15192, 2.5592, -3.63903, -4.29167, -0.730961, 5.63405, 2.97782, -8.93949, 
	x	y	theta : ul	ur

Starting Conditions: -1.80681, 0, 0, 0, 1.16871, 0, 
4.0: -2.315142	 0.041481	 -0.643395 : -0.100	 0.004 	Dst/Theta/Speed: 	2.315514	-0.643395	0.387404 	F: 0.00 (0)
4.1: -2.353544	 0.050224	 -0.717458 : -0.100	 0.005 	Dst/Theta/Speed: 	2.354079	-0.717458	0.400269 	F: 0.00 (0)
4.2: -2.392954	 0.060205	 -0.792937 : -0.100	 0.007 	Dst/Theta/Speed: 	2.393711	-0.792937	0.412805 	F: 0.00 (0)
4.3: -2.433297	 0.071478	 -0.869859 : -0.100	 0.009 	Dst/Theta/Speed: 	2.434346	-0.869859	0.424953 	F: 0.00 (0)
4.4: -2.474491	 0.084085	 -0.948259 : -0.100	 0.012 	Dst/Theta/Speed: 	2.475920	-0.948259	0.436641 	F: 0.00 (0)
4.5: -2.516450	 0.098055	 -1.028178 : -0.100	 0.016 	Dst/Theta/Speed: 	2.518360	-1.028178	0.447800 	F: 0.00 (0)
4.6: -2.559081	 0.113403	 -1.109671 : -0.100	 0.020 	Dst/Theta/Speed: 	2.561592	-1.109671	0.458371 	F: 0.00 (0)
4.7: -2.602291	 0.130132	 -1.192798 : -0.100	 0.025 	Dst/Theta/Speed: 	2.605543	-1.192798	0.468322 	F: 0.00 (0)
4.8: -2.645992	 0.148231	 -1.277622 : -0.100	 0.030 	Dst/Theta/Speed: 	2.650141	-1.277622	0.477652 	F: 0.00 (0)
4.9: -2.690097	 0.167684	 -1.364205 : -0.100	 0.034 	Dst/Theta/Speed: 	2.695318	-1.364205	0.486405 	F: 0.00 (0)
5.0: -2.734529	 0.188474	 -1.452597 : -0.100	 0.037 	Dst/Theta/Speed: 	2.741016	-1.452597	0.494665 	F: 0.00 (0)
5.1: -2.779216	 0.210595	 -1.542825 : -0.100	 0.038 	Dst/Theta/Speed: 	2.787183	-1.542825	0.502554 	F: 0.00 (0)
5.2: -2.824089	 0.234067	 -1.634873 : -0.100	 0.035 	Dst/Theta/Speed: 	2.833772	-1.634873	0.510227 	F: 0.00 (0)
5.3: -2.869071	 0.258950	 -1.728664 : -0.100	 0.026 	Dst/Theta/Speed: 	2.880734	-1.728664	0.517842 	F: 0.00 (0)
5.4: -2.914064	 0.285358	 -1.824032 : -0.100	 0.010 	Dst/Theta/Speed: 	2.928002	-1.824032	0.525494 	F: 0.00 (0)
5.5: -2.958926	 0.313453	 -1.920731 : -0.100	 -0.011 	Dst/Theta/Speed: 	2.975483	-1.920731	0.533095 	F: 0.00 (0)
5.6: -3.003476	 0.343395	 -2.018488 : -0.100	 -0.031 	Dst/Theta/Speed: 	3.023043	-2.018488	0.540353 	F: 0.00 (0)
5.7: -3.047507	 0.375290	 -2.117068 : -0.100	 -0.046 	Dst/Theta/Speed: 	3.070528	-2.117068	0.546943 	F: 0.00 (0)
5.8: -3.090814	 0.409171	 -2.216306 : -0.100	 -0.056 	Dst/Theta/Speed: 	3.117780	-2.216306	0.552643 	F: 0.00 (0)
5.9: -3.133194	 0.445011	 -2.316079 : -0.100	 -0.064 	Dst/Theta/Speed: 	3.164639	-2.316079	0.557314 	F: 0.00 (0)
6.0: -3.174454	 0.482747	 -2.416291 : -0.100	 -0.070 	Dst/Theta/Speed: 	3.210951	-2.416291	0.560852 	F: 0.00 (0)
6.1: -3.214409	 0.522281	 -2.516859 : -0.100	 -0.076 	Dst/Theta/Speed: 	3.256563	-2.516859	0.563179 	F: 0.00 (0)
6.2: -3.252886	 0.563487	 -2.617711 : -0.100	 -0.081 	Dst/Theta/Speed: 	3.301331	-2.617711	0.564229 	F: 0.00 (0)
6.3: -3.289724	 0.606213	 -2.718778 : -0.100	 -0.087 	Dst/Theta/Speed: 	3.345113	-2.718778	0.563930 	F: 0.00 (0)
6.4: -3.324773	 0.650290	 -2.819984 : -0.100	 -0.092 	Dst/Theta/Speed: 	3.387771	-2.819984	0.562203 	F: 0.00 (0)
6.5: -3.357899	 0.695528	 -2.921261 : -0.100	 -0.097 	Dst/Theta/Speed: 	3.429175	-2.921261	0.559033 	F: 0.00 (0)
6.6: -3.389006	 0.741711	 -3.022564 : -0.100	 -0.099 	Dst/Theta/Speed: 	3.469221	-3.022564	0.554478 	F: 0.00 (0)
6.7: -3.418041	 0.788613	 -3.123874 : -0.100	 -0.100 	Dst/Theta/Speed: 	3.507836	-3.123874	0.548592 	F: 0.00 (0)
6.8: -3.444981	 0.835997	 -3.225187 : -0.100	 -0.100 	Dst/Theta/Speed: 	3.544966	-3.225187	0.541404 	F: 0.00 (0)
6.9: -3.469832	 0.883629	 2.956684 : -0.100	 -0.100 	Dst/Theta/Speed: 	3.580577	2.956684	0.532940 	F: 0.00 (0)
7.0: -3.493596	 0.931496	 2.854038 : -0.100	 0.100 	Dst/Theta/Speed: 	3.615646	2.854038	0.535895 	F: 0.00 (0)
7.1: -3.517259	 0.979742	 2.748729 : -0.100	 0.100 	Dst/Theta/Speed: 	3.651165	2.748729	0.538839 	F: 0.00 (0)
7.2: -3.540820	 1.028365	 2.640757 : -0.100	 0.100 	Dst/Theta/Speed: 	3.687132	2.640757	0.541772 	F: 0.00 (0)
7.3: -3.564278	 1.077363	 2.530122 : -0.100	 0.100 	Dst/Theta/Speed: 	3.723545	2.530122	0.544694 	F: 0.00 (0)
